searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
ветом	7	True	весом	9	0
royal canin уринари сухой для котов	4	True	royal canin urinary сухой для котов	18	0
best dinner перепелка	3	True	best dinner перепела	1	0
Ветом	2	True	весом	9	0
аква	2	True	aqua	3	0
Акана для котят	2	True	acana для котят	3	0
солнцево парк	1	True	солнцево park	45	0
ceotdcrfz ekbwf	1	True	сущевская улица	44	0
роял канин для котят до 4месяцев	1	True	royal canin для котят до 4 месяцев	18	0
ориджен для щенков	1	True	orijen для щенков	18	0
Рояль Конин для кострированых котов	1	True	royal конин для кострированых котов	18	0
naturals	1	True	natural	18	0
корм монж для щенков всех пород	1	True	корм monge для щенков всех пород	13	0
корм для кошек холистик	1	True	корм для кошек holistic	13	0
ганттель	1	True	гантель	9	0
ветом 1:1	1	True	весом 1:1	9	0
роял канин для щенков гигантских пород	1	True	royal canin для щенков гигантских пород	8	0
Для тра	1	True	для трав	7	0
Гурме паштет	1	True	gourmet паштет	7	0
fre	1	True	free	7	0
про план для чувствительных собак	1	True	pro plan для чувствительных собак	5	0
royal canin starter для щенков 12кг	1	True	royal canin starter для щенков 12 кг	5	0
pussy cat	1	True	pussy-cat	5	0
Pussy cat	1	True	pussy-cat	5	0
Шампунь для длиношерстных кошек	1	True	шампунь для длинношерстных кошек	4	0
Собаки корма гипоалергенный	1	True	собаки корма гипоаллергенный	4	0
Перепелка	1	True	перепела	4	0
Корм перфект фит	1	True	корм perfect fit	4	0
роял канин для крупных пород	1	True	royal canin для крупных пород	3	0
Аква	1	True	aqua	3	0
happy cat Паст	1	True	happy cat paste	3	0
digistive care	1	True	digestive care	3	0
уход за полосью рта	1	True	уход за полостью рта	2	0
стронг	1	True	strong	2	0
пеленка для животных	1	True	пелёнка для животных	2	0
pi pi bent	1	True	pi-pi bent	2	0
gthtyjcrb	1	True	переноски	2	0
Pi pi bent	1	True	pi-pi bent	2	0
Katty	1	True	kitty	2	0
хэппи кэт лайт	1	True	happy cat light	1	0
пребиотик	1	True	пребиотики	1	0
лабрадор	1	True	labrador	1	0
горошик	1	True	горошек	1	0
Пребиотик	1	True	пребиотики	1	0
Поводо	1	True	поводок	1	0
Клетка длядля собак	1	True	клетка для для собак	1	0
royal canin для собак медиум	1	True	royal canin для собак medium	1	0
lhjynfk	1	True	дронтал	1	0
NaturCrog Adult Balance	1	True	naturcroq adult balance	1	0
Multivit mineral complete	1	True	multi vit mineral complete	1	0
Fitnes	1	True	fitness	1	0
Best dinner перепелка	1	True	best dinner перепела	1	0
Паучи для кошек hill’s	3	False	паучи для кошек hill’ s	13	0
Dr.Clauder’s	2	False	dr.clauder’ s	3	0
Hill’s «W/D	1	False	hill’ s «w/d	18	0
Hill’s Prescription Diet	1	False	hill’ s prescription diet	18	0
Древесный наполнитель для кошачьего туалета(5 л)	1	False	древесный наполнитель для кошачьего туалета (5 л)	12	0
Паучи Royal Canin Renal для кошек при ХПН с тунцом(85 г)	1	False	паучи royal canin renal для кошек при хпн с тунцом (85 г)	1	0
Стронгхолд	13	True	stronghold	4	5
для лакомств	10	True	для лакомство	18	27
форесто	9	True	foresto	1	2
Монж	9	True	monge	0	15
Proplan	6	True	pro plan	15	17
стронгхолд	6	True	stronghold	4	5
Брит	5	True	brit	18	13
royal canin пауч	5	True	royal canin паучи	15	14
ренал	5	True	renal	4	8
про план для котов	4	True	pro plan для котов	18	18
вискас	4	True	whiskas	18	16
royal canin для кошек пауч	4	True	royal canin для кошек паучи	16	1
роял канин	4	True	royal canin	15	17
Феликс	4	True	felix	15	15
корм для кошек про план	4	True	корм для кошек pro plan	9	12
Сера	4	True	sera	9	10
Фармина	4	True	farmina	7	13
Ренал	4	True	renal	4	8
мальт паста	4	True	malt паста	0	0
мальт	4	True	malt	0	4
Хепи кэт	4	True	хепи cat	0	0
Игрушуа для кролика	4	True	игрушка для кролика	0	0
mera dog welpmix	4	True	meradog welpmix	0	0
Гурме	3	True	gourmet	18	14
proplan	3	True	pro plan	15	17
Акана	3	True	acana	14	13
Pro plan пауч	3	True	pro plan паучи	14	16
ьщтпу	3	True	monge	12	15
холистик	3	True	holistic	9	11
пдэ	3	True	пэ	7	7
ПДЭ	3	True	пэ	7	7
пуллер	3	True	puller	2	3
Пуллер	3	True	puller	2	3
про колин	3	True	pro колин	0	0
Савок	3	True	совок	0	0
farmina вет лайф для кошек	3	True	farmina vet life для кошек	0	0
Freshstep	3	True	fresh step	0	2
Royal kanin	2	True	royal canin	18	17
шеба	2	True	sheba	16	16
Шеба	2	True	sheba	16	16
феликс	2	True	felix	15	15
pro plan пауч	2	True	pro plan паучи	14	16
пурина	2	True	purina	13	9
натур протекшен	2	True	nature protection	12	15
Саварра	2	True	savarra	12	11
сера	2	True	sera	9	10
Про пак	2	True	pro пак	7	7
Пдэ	2	True	пэ	7	7
Бравекта	2	True	бравекто	4	4
чаппи	2	True	chappi	2	2
стоп цистит	2	True	стоп-цистит	2	2
Черепахи	2	True	черепах и	2	4
Стоп стресс	2	True	стоп-стресс	2	2
Пеленка	2	True	пелёнка	1	2
35кг древесный	2	True	35 кг древесный	1	18
хиллс лд	2	True	hill's лд	0	17
хепи дог	2	True	хепи dog	0	0
сухой корм монж	2	True	сухой корм monge	0	0
стоморджил № 2	2	True	стоморджил №2	0	0
ренал порошок для кошек	2	True	renal порошок для кошек	0	0
паучи монж для собак	2	True	паучи monge для собак	0	0
паучи алмо натура для котят	2	True	паучи almo natura для котят	0	0
натур крок	2	True	nature croc	0	0
наполнитель древестный	2	True	наполнитель древесный	0	11
мотыль средний аква меню	2	True	мотыль средний aqua меню	0	0
мальта софт экстра для вывода шерсти	2	True	мальта софт extra для вывода шерсти	0	0
корм для собак супер премим класс	2	True	корм для собак super premium class	0	0
грин кьюзин	2	True	green кьюзин	0	0
гипатик для кощек	2	True	гипатик для кошек	0	0
гамарус	2	True	гаммарус	0	0
вит окей	2	True	with окей	0	0
Юниор каль	2	True	junior каль	0	0
Хиллс диетическое питаниемдля кошек	2	True	hill's диетическое питаниемдля кошек	0	0
Фрэш степ	2	True	fresh step	0	2
Фреш степ	2	True	fresh step	0	2
Сухой корм перфект фит	2	True	сухой корм perfect fit	0	0
Стронгхолд 6% 45 мг для кошек 2.6 - 7.5 кг	2	True	stronghold 6% 45 мг для кошек 2.6 - 7.5 кг	0	1
Страйд плюс	2	True	страйд plus	0	0
Сера кормовая	2	True	sera кормовая	0	0
Сера каптокур	2	True	sera каптокур	0	0
Роял сканер	2	True	royal сканер	0	0
Прополин	2	True	прополис	0	0
Марская свинка	2	True	морская свинка	0	0
Мальт паста	2	True	malt паста	0	0
Латок	2	True	лоток	0	15
Корм для кошек брит тунец с морковью	2	True	корм для кошек brit тунец с морковью	0	0
Корм для кошек Edel Cat Пауч с Курицей и Уткой в желе	2	True	корм для кошек edel cat паучи с курицей и уткой в желе	0	0
Глобал вет	2	True	глобал vet	0	0
В и Си Клозе т наполнитель	2	True	в и с и клозе т наполнитель	0	0
Бравекта для кошек	2	True	бравекто для кошек	0	0
savarra для котяь	2	True	savarra для котят	0	1
royal canin hight dalution	2	True	royal canin high dalution	0	0
Vet Hepatic HF 26 Feline	2	True	vet hepatic hf26 feline	0	0
Roal canin	2	True	royal canin	0	17
Bosh sanabelle	2	True	bosch sanabelle	0	0
ACANA GRASS-FED LAMB 11,4кг	2	True	acana grass-fed lamb 11,4 кг	0	0
8in1 Vitality Brewer’s Yeast Пивные Дрожжи для Соб	2	True	8in1 vitality brewer’ s yeast пивные дрожжи для со	0	0
1 st choice	2	True	1st choice	0	0
vjcrdf	1	True	москва	59	53
Vjcrdf	1	True	москва	59	53
роял канин для кошек	1	True	royal canin для кошек	18	17
пилочка	1	True	палочка	18	18
паучи роял канин	1	True	паучи royal canin	18	14
ошйник	1	True	ошейник	18	14
ошейник для соба	1	True	ошейник для собак	18	13
мерадог для щенков	1	True	meradog для щенков	18	18
гурме	1	True	gourmet	18	14
витакрафт	1	True	vitakraft	18	6
брит	1	True	brit	18	13
афкьштф	1	True	farmina	18	13
Хиллз	1	True	hill's	18	17
Хеппи кэт	1	True	happy cat	18	17
Хеппи дог	1	True	happy dog	18	17
Улетки	1	True	рулетки	18	15
Молоко для щенклв	1	True	молоко для щенков	18	18
Корм для собак roya	1	True	корм для собак royal	18	17
Для лакомств	1	True	для лакомство	18	27
Голоси	1	True	golosi	18	15
Вискас	1	True	whiskas	18	16
АФКЬШТФ	1	True	farmina	18	13
yfgjkybntkm	1	True	наполнитель	18	17
whiska	1	True	whiskas	18	16
shesir	1	True	schesir	18	15
rjhveirb lkz djkybcns[ gjgeuftd	1	True	кормушки для волнистых попугаев	18	17
purina proplan veterinary diets	1	True	purina pro plan veterinary diets	18	10
proplan purina	1	True	pro plan purina	18	14
ljukfqr	1	True	doglike	18	12
kt;fr	1	True	лежак	18	8
gfintn	1	True	паштет	18	16
ekanuba	1	True	eukanuba	18	13
best diner для собак	1	True	best dinner для собак	18	18
afhvbyf	1	True	farmina	18	13
Prolif	1	True	prolife	18	16
sheb	1	True	sheba	16	16
хеппи дог консервы	1	True	happy dog консервы	15	14
Роял канин 15 кг	1	True	royal canin 15 кг	15	17
Роял канин	1	True	royal canin	15	17
акана	1	True	acana	14	13
Бозита	1	True	bozita	14	12
Akana	1	True	acana	14	13
пурина ом	1	True	purina ом	13	9
пурина ur	1	True	purina ur	13	9
Холистик для кошек	1	True	holistic для кошек	13	13
Пурина	1	True	purina	13	9
Гипоалергенный	1	True	гипоаллергенный	12	5
перфект фит	1	True	perfect fit	10	9
педигри	1	True	pedigree	10	10
Perfekt fit	1	True	perfect fit	10	9
ирис	1	True	и рис	9	7
Холистик go	1	True	holistic go	9	11
Холистик  go	1	True	holistic go	9	11
Холистик	1	True	holistic	9	11
Ирис	1	True	и рис	9	7
Анимонда для собак	1	True	animonda для собак	9	9
деликат	1	True	delicate	8	21
брит для собак	1	True	brit для собак	8	8
frdfhbev	1	True	аквариум	8	7
Proplan delicate	1	True	pro plan delicate	8	8
холистик бленд	1	True	holistic blend	7	6
фармина	1	True	farmina	7	13
роял канин urinary	1	True	royal canin urinary	7	7
кет чау	1	True	cat чау	7	7
виталин	1	True	vitaline	7	7
Ъе	1	True	е	7	7
Холистик бленд	1	True	holistic blend	7	6
Холистик Бленд	1	True	holistic blend	7	6
holisric blend	1	True	holistic blend	7	6
T8	1	True	е8	7	7
терьер	1	True	terrier	6	4
гастроинтестинал	1	True	gastrointestinal	6	6
Рулетка Flexi Design, трос, 3м, 8кг	1	True	рулетка flexi design, трос, 3 м, 8 кг	6	6
cnhjyu[jkl	1	True	stronghold	6	5
cat zone	1	True	catzone	6	6
Cat zone	1	True	catzone	6	6
CAt zone	1	True	catzone	6	6
роял канин лайт	1	True	royal canin light	5	1
платинум	1	True	platinum	5	8
опилка	1	True	опилки	5	5
дущтфквщ	1	True	leonardo	5	8
вектра	1	True	vectra	5	5
royal canin терьер	1	True	royal canin terrier	5	4
NF PRO PLAN Veterenary Diets	1	True	nf pro plan veterinary diets	5	18
уринари для собок	1	True	urinary для собак	4	4
роял канин satiety	1	True	royal canin satiety	4	3
наполнитель селикагелевый №й1	1	True	наполнитель силикагелевый №й1	4	12
наполнитель селикагелевый №1	1	True	наполнитель силикагелевый №1	4	12
наполнитель селикагелевый	1	True	наполнитель силикагелевый	4	12
