probability	fixed_query	eng_words	generated_translit	source
75	весом	vom	вом	other
34	royal canin urinary сухой для котов	adult hairball control	адульт хэйрболл контрол	other
44	best dinner перепела	plan perfect	план перфект	other
18	aqua	happy dog	['ggb lju	brand
46	acana для котят	dental knot	дентал кнот	other
47	солнцево park	solo	соло	other
52	сущевская улица	sera holiday	сера холидай	other
34	royal canin для котят до 4 месяцев	vom feinsten kitten	вом феинстен киттен	other
34	royal canin для котят до 4 месяцев	dog chow adult	дог чов адулт	other
42	orijen для щенков	adult low grain	адульт лов грейн	other
52	royal конин для кострированых котов	adult top condition	адулт топ кондитион	other
25	natural	happy dog	[tggb lju	brand
42	корм monge для щенков всех пород	vom feinsten for	вом феинстен фор	other
42	корм monge для щенков всех пород	vet life hypoallergenic	вет лайф хайпооллердженик	other
42	корм monge для щенков всех пород	perfect weight medium	перфект веигхт медиум	other
42	корм monge для щенков всех пород	protection adult mini	протектион адулт мини	other
41	корм для кошек holistic	coone adult	кооне адулт	other
67	гантель	giant	гиант	other
60	весом 1:1	vom	вом	other
43	royal canin для щенков гигантских пород	protection intestinal	протектион интестинал	other
62	для трав	ultra	ултра	other
42	gourmet паштет	malt paste	малт пасте	other
42	gourmet паштет	paste	пасте	other
44	free	acana	frfyf	brand
39	pro plan для чувствительных собак	happy dog multivitamin	хаппи дог мультивитеймин	other
39	pro plan для чувствительных собак	dog multivitamin	дог мультивитеймин	other
31	royal canin starter для щенков 12 кг	adult low grain	адульт лов грейн	other
25	pussy-cat	happy dog	['ggb lju	brand
25	pussy-cat	cat chow	cат чов	brand
50	шампунь для длинношерстных кошек	protection intestinal	протекшен интестинал	other
61	собаки корма гипоаллергенный	hypoallergenic hsd	хипоаллергеник хсд	other
70	перепела	plan perfect	план перфект	other
33	корм perfect fit	cichorium	кичориум	other
43	royal canin для крупных пород	canin poodle adult	канин поодле адулт	other
18	happy cat paste	cat chow	cат чов	brand
19	digestive care	cat chow	cат чов	brand
50	уход за полостью рта	golosi baby maxi	голоси баби махи	other
29	strong	happy dog	[tggb lju	brand
51	пелёнка для животных	pet dual action	пет дуал актион	other
51	пелёнка для животных	adult cat jcean	адульт кат жсин	other
29	pi-pi bent	happy dog	['ggb lju	brand
67	переноски	parakeet	пейрейкит	other
27	kitty	royal canin	hjzk rfyby	brand
25	happy cat light	happy dog	[tggb lju	brand
60	пребиотики	protection	протектион	brand
25	labrador	happy dog	[tggb lju	brand
60	горошек	oro	оро	other
62	поводок	poodle	поодле	other
62	поводок	powder	повдер	other
53	клетка для для собак	extra small black	экстра смалль блак	other
53	клетка для для собак	classic small black	классик смалл блак	other
53	клетка для для собак	eukanuba adult	еукануба адулт	other
53	клетка для для собак	eukanuba adult all	еукануба адулт алл	other
53	клетка для для собак	optiblance large adult	оптибланке ларге адулт	other
30	royal canin для собак medium	pro plan optiblance	про план оптибланке	other
77	дронтал	dental	дентал	other
20	naturcroq adult balance	happy dog	['ggb lju	brand
24	multi vit mineral complete	happy dog	[tggb lju	brand
17	fitness	acana	frfyf	brand
46	паучи для кошек hill’ s	maine coone adult	маине кооне адулт	other
30	dr.clauder’ s	happy dog	[tggb lju	brand
24	hill’ s «w/d	happy dog	['ggb lju	brand
19	hill’ s prescription diet	happy dog	[tggb lju	brand
